,Discount_Percent,Discount_Price
592,-28%,$ 923.799
593,-58%,$ 499.900
594,-26%,$ 2.219.926
595,-32%,$ 3.293.990
596,-59%,$ 1.228.285
597,-20%,$ 949.000
598,-54%,$ 549.190
599,-25%,$ 4.089.989
600,-42%,$ 2.899.880
601,-44%,$ 1.939.775
602,-42%,$ 499.900
603,-28%,$ 932.900
604,-35%,$ 6.674.900
605,-57%,$ 599.900
606,-79%,$ 620.007
607,-37%,$ 2.492.900
608,-23%,$ 4.599.900
609,-50%,$ 699.900
610,-30%,$ 1.113.690
611,-60%,$ 1.899.900
612,-26%,$ 4.786.900
613,-28%,$ 932.900
614,-35%,$ 2.589.706
615,-28%,$ 2.499.900
616,-27%,$ 2.899.683
617,-22%,$ 1.629.900
618,-30%,$ 662.220
619,-32%,$ 3.399.900
620,-52%,$ 1.725.900
621,-40%,$ 503.000
622,-34%,$ 650.510
623,-13%,$ 850.000
624,-15%,$ 169.990
625,-28%,$ 429.900
626,-33%,$ 2.989.806
627,-35%,$ 899.900
628,-22%,$ 1.396.930
629,-10%,$ 483.500
630,-32%,$ 338.908
631,-35%,$ 769.990
632,-62%,$ 299.900
633,-23%,$ 1.803.918
634,-36%,$ 3.007.936
635,-61%,$ 499.690
636,-67%,$ 329.900
637,-65%,$ 1.396.995
638,-14%,$ 3.579.900
639,-20%,$ 3.395.777
640,-24%,$ 1.594.900
641,-44%,$ 1.339.900
642,-20%,$ 3.184.860
643,-22%,$ 6.184.900
644,-54%,$ 499.900
645,-60%,$ 199.900
646,-58%,$ 289.900
647,-66%,$ 499.900
648,-63%,$ 399.900
649,-62%,$ 379.900
650,-67%,$ 329.900
651,-37%,$ 499.800
652,-30%,$ 2.099.899
653,-49%,$ 828.590
654,-49%,$ 828.590
655,-61%,$ 699.900
656,-56%,$ 1.049.900
657,-61%,$ 728.018
658,-62%,$ 759.900
659,-71%,$ 1.049.900
660,-63%,$ 549.190
661,-52%,$ 449.900
662,-63%,$ 329.900
663,-57%,$ 799.900
664,-63%,$ 329.900
665,-17%,$ 570.000
666,-61%,$ 499.900
667,-54%,$ 499.900
668,-37%,$ 1.699.890
669,-30%,$ 2.099.699
670,-58%,$ 828.590
671,-61%,$ 699.900
672,-20%,$ 625.990
673,-31%,$ 1.849.900
674,-44%,$ 1.399.900
675,-46%,$ 1.384.911
676,-33%,$ 2.789.879
677,-72%,$ 899.750
678,-60%,$ 1.398.732
679,-46%,$ 1.398.838
680,-59%,$ 1.049.899
681,-41%,$ 1.398.731
682,-41%,$ 1.396.999
683,-66%,$ 899.750
684,-28%,$ 639.900
685,-20%,$ 3.185.698
686,-26%,$ 439.900
687,-10%,$ 2.699.900
688,-52%,$ 599.900
689,-16%,$ 1.427.690
690,-26%,$ 3.879.900
691,-55%,$ 507.400
692,-41%,$ 1.398.735
693,-52%,$ 1.215.990
694,-46%,$ 1.599.800
695,-52%,$ 1.215.990
696,-38%,$ 1.599.800
697,-10%,$ 2.199.900
698,-30%,$ 2.348.900
699,-33%,$ 1.999.990
700,-33%,$ 2.999.779
701,-23%,$ 3.189.900
702,-22%,$ 1.158.300
703,-46%,$ 1.599.800
704,-21%,$ 2.369.990
705,-46%,$ 1.599.800
706,-29%,$ 2.541.990
707,-47%,$ 2.629.760
708,-39%,$ 1.299.800
709,-52%,$ 1.215.990
710,-52%,$ 1.215.990
711,-49%,$ 1.279.900
712,-58%,$ 1.939.688
713,-23%,$ 3.188.990
714,-32%,$ 2.349.591
715,-20%,$ 1.969.499
716,-52%,$ 1.725.900
717,-50%,$ 1.567.100
718,-53%,$ 879.900
719,-38%,$ 1.969.496
720,-60%,$ 1.899.900
721,-26%,$ 1.171.698
722,-35%,$ 2.699.990
723,-54%,$ 549.900
724,-21%,$ 3.824.990
725,-36%,$ 1.199.800
726,-32%,$ 1.599.900
727,-44%,$ 559.900
728,-65%,$ 1.049.888
729,-80%,$ 599.900
730,-60%,$ 1.398.964
731,-35%,$ 899.900
732,-14%,$ 1.789.000
733,-34%,$ 1.249.900
734,-34%,$ 1.964.430
735,-27%,$ 1.459.900
736,-70%,$ 879.900
